Numero de muestra;Valor original;Valor filtrado
249;-0.0007934812;-0.0000322504
250;0.0004882962;-0.0000320049
251;-0.0003967406;-0.0000306517
252;0.0004882962;-0.0000281928
253;-0.0003051851;-0.0000246938
254;0.0003662221;-0.0000202854
255;0.0006103702;-0.0000151597
256;0.0007934812;-0.0000095634
257;0.0018311106;-0.0000037863
258;0.0009460738;0.0000018548
259;0.0025940733;0.0000070356
260;0.0008545183;0.0000114484
261;0.0040589618;0.0000148299
262;0.0006103702;0.0000169926
263;0.0062257759;0.0000178599
264;0.0000000000;0.0000175021
265;0.0097659230;0.0000161739
266;0.0034791101;0.0000143485
267;0.0214850307;0.0000127480
268;-0.0159001434;0.0000123670
269;-0.0556962798;0.0000144893
270;-0.0748313852;0.0000206976
271;-0.0714438307;0.0000328672
272;-0.0170598468;0.0000531210
273;-0.0292977691;0.0000836883
274;-0.1503341777;0.0001265910
275;-0.2516251106;0.0001830811
276;-0.2350840785;0.0002527854
277;-0.1681569872;0.0003325567
278;-0.2096316416;0.0004150461
279;-0.1958677938;0.0004870044
280;-0.1185033723;0.0005273166
281;-0.0699484237;0.0005048172
282;0.0220343638;0.0003760359
283;0.0108951079;0.0000831614
284;0.0342112491;-0.0004473415
285;0.1344645528;-0.0013049180
286;0.1628467666;-0.0025933286
287;0.1702932829;-0.0044267673
288;0.2179021577;-0.0069233708
289;0.1732840968;-0.0101960834
290;0.0896328623;-0.0143411797
291;0.1464278085;-0.0194251007
292;0.0267342143;-0.0254705945
293;-0.1793267617;-0.0324434366
294;-0.2697531053;-0.0402411960
295;-0.2917264321;-0.0486855848
296;-0.2623371075;-0.0575198688
297;-0.3698843348;-0.0664126004
298;-0.3564561907;-0.0749685667
299;-0.1817682424;-0.0827472805
300;-0.0144352550;-0.0892886175
301;0.1976683859;-0.0941443642
302;0.2614520707;-0.0969135878
303;0.2342600787;-0.0972789599
304;0.3636890774;-0.0950405699
305;0.3883480331;-0.0901434859
306;0.3346659749;-0.0826954748
307;0.2298043764;-0.0729719694
308;0.1187170019;-0.0614064950
309;0.1034577471;-0.0485662460
310;0.0434888760;-0.0351141274
311;-0.0943632313;-0.0217601646
312;-0.1838129826;-0.0092065097
313;-0.2557756279;0.0019088418
314;-0.2951139866;0.0110641895
315;-0.3257240516;0.0178969685
316;-0.3241065706;0.0222329614
317;-0.1664784692;0.0240988367
318;-0.0943021943;0.0237165671
319;0.0087893307;0.0214800475
320;0.2855616932;0.0179160010
321;0.3498031556;0.0136328561
322;0.4282052065;0.0092625489
323;0.4293343913;0.0054010073
324;0.4185308390;0.0025533080
325;0.3874019593;0.0010890941
326;0.2310251167;0.0012128174
327;0.1315958129;0.0029517861
328;-0.0012512589;0.0061630502
329;-0.0289315470;0.0105580554
330;-0.0637226478;0.0157420107
331;-0.2616962188;0.0212632847
332;-0.3552964873;0.0266670883
333;-0.2230292673;0.0315473348
334;-0.2803430280;0.0355909226
335;-0.2877895444;0.0386096741
336;-0.1765495773;0.0405566477
337;-0.0293893246;0.0415253452
338;0.1993469039;0.0417322694
339;0.3665578173;0.0414851285
340;0.4738914151;0.0411405628
341;0.4734336375;0.0410564338
342;0.4565874203;0.0415443584
343;0.3672902615;0.0428282022
344;0.2750633259;0.0450136165
345;0.1398052919;0.0480724238
346;-0.1240577410;0.0518438656
347;-0.0898770104;0.0560526269
348;-0.1362346263;0.0603414333
349;-0.2239143040;0.0643141618
